K,Required_N,Final_Accuracy,Final_Error
2,1,1.0000,0.294653
3,0,0.0000,0.000000
4,39,1.0000,0.007674
5,27,1.0000,0.006319
6,16,0.9330,0.004818
7,32,0.9090,0.003538
8,39,0.9230,0.003143
9,56,0.9060,0.002609
10,58,1.0000,0.002086
11,50,0.9170,0.001903
12,51,0.9150,0.001655
13,85,0.9080,0.001412
14,86,0.9030,0.001338
15,84,1.0000,0.001166
16,84,0.9190,0.001093
17,91,0.9040,0.000990
18,117,0.9050,0.000910
19,114,0.9050,0.000861
20,131,0.9970,0.000781
21,123,0.9070,0.000741
22,123,0.9050,0.000700
23,148,0.9080,0.000653
24,137,0.9000,0.000608
25,145,1.0000,0.000579
26,167,0.9010,0.000542
27,170,0.9050,0.000522
28,182,0.9100,0.000499
29,171,0.9010,0.000480
30,171,1.0000,0.000448
